Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Tormod Haugen, Per Svein Paulsen","=""""","=""""",4,4.23,HarperCollins Publishers,Paperback,206,2005,1950,,2019/08/21,,,read,,,,1,0
25093823,"গুপ্তচর শিকারী (তিন গোয়েন্দা, #৯৮)",Rakib Hassan,"Hassan, Rakib",,"=""9841613085""","=""""",3,3.44,সেবা প্রকাশনী,Paperback,143,1996,1996,,2019/08/21,,,read,,,,1,0
25093804,"জিনার সেই দ্বীপ (তিন গোয়েন্দা, #৭৯)",Rakib Hassan,"Hassan, Rakib",,"=""9841612771""","=""""",5,4.16,সেবা প্রকাশনী,Paperback,158,1994,1994,,2019/08/21,,,read,,,,1,0
22066687,"পায়ের ছাপ (তিন গোয়েন্দা, #৫২)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",3,3.60,Sheba Prokashoni,Paperback,,,,,2019/08/21,,,read,,,,1,0
19497562,"ছুটি  (তিন গোয়েন্দা, #১৭)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",4,3.98,Sheba Prokashoni,Paperback,,1988,1988,,2019/08/21,,,read,,,,1,0
28195753,প্রপেলার আইল্যান্ড,Jules Verne,"Verne, Jules",Shamsuddin Nawab,"=""9841631490""","=""""",5,3.60,সেবা প্রকাশনী,Paperback,143,2000,1895,,2019/08/21,,,read,,,,1,0
28259556,মাস্টার অভ দ্য ওয়ার্ল্ড,Jules Verne,"Verne, Jules",Khasru Choudhury,"=""9844626684""","=""""",3,3.46,প্রজাপতি প্রকাশন,Hardcover,80,,1904,,2019/08/21,,,read,এই বই পড়ার আগে </ক্লিপার অভ দ্য ক্লাউডস\> পড়ে নিলে ভালো হবে। যদিও না পড়লেও সমস্যা নেই।,,,1,0
22552307,মরুশহর,Jules Verne,"Verne, Jules",Shamsuddin Nawab,"=""""","=""""",4,3.94,সেবা প্রকাশনী,Paperback,240,1982,1905,,2019/08/21,,,read,,,,1,0
28232781,নাইজারের বাঁকে,Jules Verne,"Verne, Jules",Shamsuddin Nawab,"=""9844626668""","=""""",4,3.95,সেবা প্রকাশনী,Paperback,168,1982,1905,,2019/08/21,,,read,,,,1,0
28372410,স্কুল ফর রবিনসন্স,Jules Verne,"Verne, Jules",Shamsuddin Nawab,"=""""","=""""",3,3.53,সেবা প্রকাশনী,Paperback,146,2000,1882,2019/08/21,2019/08/18,,,read,"ঠিক এরকম বই তিনটা। 'রবিনসন ক্রুসো', 'সুইস ফ্যামিলি রবিনসন' এবং 'স্কুল ফর রবিনসন'। <br/><br/>যদিও  এই  গল্পের মধ্যেই প্রথমদুটো বইয়ের রেফারেন্স দেয়া আছে, যে আমাদের গল্পের নায়ক গডফ্রে ড্যানিয়েল ডিফো আর জোহান ওয়েস এর লেখার দ্বারা প্রভাবিত(মূলত জুল ভার্ন ) । <br/><br/>তিনটা বইয়ের মধ্যে আমার কাছে সবচেয়ে ভালো লাগছে সুইস ফ্যামিলি রবিনসন। তারপর রবিনসন ক্রুসো,  দেন স্কুল ফর রবিনসন।",,,2,1
